Month,data_source,Country,Tx_Type,CC VS APM,First Payment Method,Fail Reason,Order Count,Success Order Count,Recovery Order Count,Fail Order Count
2026-01,Foodora,Norway,CIT,Alternative Payment Method,klarna,unknown,3,3,0,0
2026-01,Foodora,Norway,CIT,Alternative Payment Method,vippsdirect,Drops,17,0,0,17
2026-01,Foodora,Norway,CIT,Alternative Payment Method,vippsdirect,Generic Rejection,947,0,0,947
2026-01,Foodora,Norway,CIT,Alternative Payment Method,vippsdirect,NOT MAPPED,5447,5372,73,2
2026-01,Foodora,Norway,CIT,Alternative Payment Method,vippsdirect,unknown,6,0,0,6
2026-01,Foodora,Norway,CIT,Alternative Payment Method,voucher,NOT MAPPED,1,1,0,0
2026-01,Foodora,Norway,CIT,Credit Card,applepay,Generic Rejection,1,0,0,1
2026-01,Foodora,Norway,CIT,Credit Card,applepay,Insufficient Funds,37,0,0,37
2026-01,Foodora,Norway,CIT,Credit Card,applepay,NOT MAPPED,3661,3614,47,0
2026-01,Foodora,Norway,CIT,Credit Card,applepay,Payment Instrument Issues,3,0,0,3
2026-01,Foodora,Norway,CIT,Credit Card,applepay,Third Party System Error,36,0,0,36
2026-01,Foodora,Norway,CIT,Credit Card,applepay,unknown,5,0,0,5
2026-01,Foodora,Norway,CIT,Credit Card,credit_card,Drops,978,0,0,978
2026-01,Foodora,Norway,CIT,Credit Card,credit_card,Generic Rejection,3,0,0,3
2026-01,Foodora,Norway,CIT,Credit Card,credit_card,Insufficient Funds,28,0,0,28
2026-01,Foodora,Norway,CIT,Credit Card,credit_card,NOT MAPPED,3147,3108,39,0
2026-01,Foodora,Norway,CIT,Credit Card,credit_card,Payment Instrument Issues,174,0,0,174
2026-01,Foodora,Norway,CIT,Credit Card,credit_card,Third Party System Error,13,0,0,13
2026-01,Foodora,Norway,CIT,Credit Card,credit_card,unknown,5,0,0,5
2026-01,Foodora,Norway,MIT,Alternative Payment Method,invoice,NOT MAPPED,76,76,0,0
2026-01,Foodora,Norway,MIT,Alternative Payment Method,klarna,Drops,9,0,0,9
2026-01,Foodora,Norway,MIT,Alternative Payment Method,klarna,NOT MAPPED,3503,3442,61,0
2026-01,Foodora,Norway,MIT,Alternative Payment Method,klarna,Payment Instrument Issues,278,0,0,278
2026-01,Foodora,Norway,MIT,Alternative Payment Method,klarna,unknown,15,14,1,0
2026-01,Foodora,Norway,MIT,Alternative Payment Method,no_payment_method,NOT MAPPED,3,3,0,0
2026-01,Foodora,Norway,MIT,Alternative Payment Method,no_payment_method,Technical Issues,131,0,0,131
2026-01,Foodora,Norway,MIT,Alternative Payment Method,no_payment_method,unknown,1,0,0,1
2026-01,Foodora,Norway,MIT,Alternative Payment Method,vippsdirect,Drops,2,0,0,2
2026-01,Foodora,Norway,MIT,Alternative Payment Method,vippsdirect,Generic Rejection,1397,0,0,1396
2026-01,Foodora,Norway,MIT,Alternative Payment Method,vippsdirect,NOT MAPPED,6792,6298,494,0
2026-01,Foodora,Norway,MIT,Alternative Payment Method,vippsdirect,unknown,233,182,41,10
2026-01,Foodora,Norway,MIT,Credit Card,applepay,Drops,1,0,0,1
2026-01,Foodora,Norway,MIT,Credit Card,applepay,Fraud Risk,1,0,0,1
2026-01,Foodora,Norway,MIT,Credit Card,applepay,Generic Rejection,166,0,0,166
